country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",28-11-2025 11:00:00,25.586562,85.043586,SO2,8,11,9
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",28-11-2025 11:00:00,25.592539,85.227158,PM2.5,59,72,65
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",28-11-2025 11:00:00,25.592539,85.227158,NO2,2,32,16
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",28-11-2025 11:00:00,24.952822,84.002396,PM10,70,443,162
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",28-11-2025 11:00:00,24.952822,84.002396,NH3,3,3,3
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",28-11-2025 11:00:00,24.952822,84.002396,CO,50,54,52
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",28-11-2025 11:00:00,26.2271665,84.3570427,CO,70,137,118
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",28-11-2025 11:00:00,30.735567,76.775714,PM10,47,195,88
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",28-11-2025 11:00:00,30.735567,76.775714,NH3,10,17,14
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",28-11-2025 11:00:00,25.560083,87.553265,NO2,11,21,16
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",28-11-2025 11:00:00,25.560083,87.553265,SO2,8,23,16
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",28-11-2025 11:00:00,25.560083,87.553265,OZONE,4,10,6
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",28-11-2025 11:00:00,26.0881305,87.93840336,SO2,6,9,7
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",28-11-2025 11:00:00,27.308328,84.531742,PM2.5,7,327,61
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",28-11-2025 11:00:00,27.308328,84.531742,SO2,16,17,16
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",28-11-2025 11:00:00,22.08815,82.13737,PM10,71,111,89
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",28-11-2025 11:00:00,22.118125,83.140608,PM2.5,NA,NA,NA
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",28-11-2025 11:00:00,22.118125,83.140608,PM10,NA,NA,NA
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",28-11-2025 11:00:00,22.118125,83.140608,SO2,NA,NA,NA
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",28-11-2025 11:00:00,22.118125,83.140608,CO,NA,NA,NA
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",28-11-2025 11:00:00,22.118125,83.140608,OZONE,NA,NA,NA
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",28-11-2025 11:00:00,22.348441,82.549611,PM2.5,70,86,71
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",28-11-2025 11:00:00,25.366336,87.117468,CO,44,100,68
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",28-11-2025 11:00:00,25.0328,85.41948,OZONE,28,35,30
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",28-11-2025 11:00:00,25.892357,86.590325,PM2.5,13,155,67
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",28-11-2025 11:00:00,25.892357,86.590325,SO2,14,18,16
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",28-11-2025 11:00:00,24.952822,84.002396,PM2.5,32,171,63
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",28-11-2025 11:00:00,25.610369,85.132568,CO,48,62,56
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",28-11-2025 11:00:00,25.599486,85.113666,PM10,47,124,100
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",28-11-2025 11:00:00,25.599486,85.113666,OZONE,24,29,26
India,Bihar,Patna,"Samanpura, Patna - BSPCB",28-11-2025 11:00:00,25.596727,85.085624,PM10,104,193,151
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",28-11-2025 11:00:00,25.366336,87.117468,PM10,18,93,59
